University                                 ,Department      ,Instructor             ,Overall Rating,Number of Ratings,Date      ,Rating ,Overall Quality,               ,Level of Difficulty,                   ,Course       ,Course Name,Is Software Engineering,For Credit?    ,Attendance               ,Textbook used     ,Would take again     ,Grade Received                ,Tags                                                                    ,Comments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Others found it useful                                                                                                                                                                                                                                                                                                                                          ,
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,04/25/2018,AWESOME,5              ,OVERALL QUALITY,3                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: No ,Attendance: N/A          ,Textbook Used: No ,Would Take Again: Yes,Grade Received: N/A           ,AMAZING LECTURES-INSPIRATIONAL                                          ,"I am among those ""less comfortable"" with CS and if you're like me, you'll love this professor because of his way of teaching - he can make everything understandable. If you're among those ""more comfortable"" - you'll love him because of his knowledge - no matter how much you already know, you can still learn a lot from him."                                                                                                                                                                          ,6 people found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,03/19/2018,AWESOME,5              ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: Yes,Would Take Again: Yes,Grade Received: N/A           ,HILARIOUS-AMAZING LECTURES-RESPECTED                                    ,Amazing Teacher best teacher I have ever seen                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,0 people found this useful 3 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,03/06/2018,AWESOME,5              ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: Yes,Would Take Again: Yes,Grade Received: A             ,CARING-AMAZING LECTURES-HILARIOUS                                       ,Amazing Teacher                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,0 people found this useful 3 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,03/04/2018,AWESOME,5              ,OVERALL QUALITY,5                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: B             ,BEWARE OF POP QUIZZES-ACCESSIBLE OUTSIDE CLASS                          ,Aweseome                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,0 people found this useful 4 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,02/25/2018,GOOD   ,4              ,OVERALL QUALITY,3                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: No ,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: N/A           ,AMAZING LECTURES-RESPECTED-CLEAR GRADING CRITERIA                       ,He's very good in teaching in a understandable class hello is one of the best professors and I'm not even from computer science background but still I can still understand the class in abetter way                                                                                                                                                                                                                                                                                                                ,1 person found this useful 2 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,01/29/2018,AWESOME,5              ,OVERALL QUALITY,1                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: A+            ,GROUP PROJECTS-HILARIOUS                                                ,the best one!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,0 people found this useful 3 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,01/17/2018,AWESOME,5              ,OVERALL QUALITY,3                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: Yes,Attendance: N/A          ,Textbook Used: No ,Would Take Again: Yes,Grade Received: A             ,                                                                        ,CS50 has been one of my favorite classes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,1 person found this useful 2 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,12/21/2017,AWESOME,5              ,OVERALL QUALITY,5                  ,LEVEL OF DIFFICULTY,CS50X        ,           ,                       ,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: Yes,Would Take Again: Yes,Grade Received: Not sure yet  ,INSPIRATIONAL-HILARIOUS-GIVES GOOD FEEDBACK                             ,"I'm not done so maybe I can update later. I thought I'd write a review since I taught based on early lectures & taught elsewhere. I have the impression an enormous, incredible amount of thought & effort have been put into this class so it satisfies the goals of those taking it & stays accessible. I haven't seen anything like it. Staff is tops."                                                                                                                                                         ,1 person found this useful 2 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,12/19/2017,AWESOME,5              ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: N/A           ,HILARIOUS-AMAZING LECTURES                                              ,Excellent teacher                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,1 person found this useful 2 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,06/27/2017,AWESOME,5              ,OVERALL QUALITY,3                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: No ,Attendance: N/A          ,Textbook Used: No ,Would Take Again: Yes,Grade Received: N/A           ,CARING-AMAZING LECTURES                                                 ,Great prof.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,54 people found this useful 36 people did not find this useful                                                                                                                                                                                                                                                                                                  ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,03/15/2017,AWESOME,5              ,OVERALL QUALITY,2                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: N/A,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: N/A           ,AMAZING LECTURES-HILARIOUS-RESPECTED                                    ,Lectures are very useful and has a nice vibe to it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2 people found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,10/27/2016,AWESOME,5              ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS50X        ,           ,                       ,For Credit:Yes ,Attendance: Not Mandatory,Textbook Used: Yes,Would Take Again: Yes,Grade Received: Audit/No Grade,RESPECTED-INSPIRATIONAL-AMAZING LECTURES                                ,He is an amazing instructor. He is precise and to the point.                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,1 person found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,05/14/2016,AWESOME,5              ,OVERALL QUALITY,5                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit:Yes ,Attendance: Mandatory    ,Textbook Used: No ,Would Take Again: N/A,Grade Received: A+            ,RESPECTED-HILARIOUS-INSPIRATIONAL                                       ,Nice lecture                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,1 person found this useful 4 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,04/08/2016,AWESOME,5              ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit:Yes ,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: A             ,INSPIRATIONAL-AMAZING LECTURES                                          ,He is the best Computer Science Professor out there                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,1 person found this useful 2 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,04/02/2016,AWESOME,5              ,OVERALL QUALITY,1                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit:No  ,Attendance: N/A          ,Textbook Used: No ,Would Take Again: N/A,Grade Received: N/A           ,INSPIRATIONAL-CLEAR GRADING CRITERIA-RESPECTED                          ,Hat's off                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,3 people found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,02/21/2016,AWESOME,5              ,OVERALL QUALITY,1                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit:Yes ,Attendance: Mandatory    ,Textbook Used: Yes,Would Take Again: N/A,Grade Received: N/A           ,SKIP CLASS? YOU WON'T PASS.-INSPIRATIONAL                               ,"good, very good, very very good, very very very good!"                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2 people found this useful 3 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,02/15/2016,AWESOME,5              ,OVERALL QUALITY,1                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit:Yes ,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: N/A,Grade Received: N/A           ,                                                                        ,"Best professor for introduction to computer science to students on campus and all over the internet alike. Emphasizes all sorts of aspects on computer science including the theoretical, engineering, entrepreneurial, etc. Even though psets are verbose, they are sprinkled with inspiration and breakthroughs. One critique: too too much pop culture!"                                                                                                                                                        ,10 people found this useful 2 people did not find this useful                                                                                                                                                                                                                                                                                                   ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,01/17/2016,AWESOME,5              ,OVERALL QUALITY,1                  ,LEVEL OF DIFFICULTY,CS50X        ,           ,                       ,For Credit:No  ,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: Not sure yet  ,AMAZING LECTURES-INSPIRATIONAL                                          ,"Best class ever. I wish I had discovered his courses sooner. He talks super fast, yet makes clear point and uses effective example. Would take again."                                                                                                                                                                                                                                                                                                                                                             ,5 people found this useful 2 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,01/06/2016,AWESOME,5              ,OVERALL QUALITY,2                  ,LEVEL OF DIFFICULTY,CS50X        ,           ,                       ,For Credit:No  ,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: N/A,Grade Received: A+            ,INSPIRATIONAL-LOTS OF HOMEWORK-RESPECTED                                ,Fast and phenomenal!!!!!!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,1 person found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,01/02/2016,GOOD   ,4              ,OVERALL QUALITY,3                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit:No  ,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: N/A,Grade Received: A-            ,LOTS OF HOMEWORK-GET READY TO READ-HILARIOUS                            ,I loved CS50! Everything about it including David was awesome!                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,1 person found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,01/02/2016,AWESOME,5              ,OVERALL QUALITY,1                  ,LEVEL OF DIFFICULTY,CS50X        ,           ,                       ,For Credit:Yes ,Attendance: Not Mandatory,Textbook Used: Yes,Would Take Again: Yes,Grade Received: A+            ,AMAZING LECTURES-INSPIRATIONAL                                          ,Best professor ever seen!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,1 person found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,12/16/2015,AWESOME,5              ,OVERALL QUALITY,2                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit:No  ,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: N/A           ,INSPIRATIONAL-RESPECTED                                                 ,CS50 was hilarious. Youtube is a good chance for you to try it.                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,0 people found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,10/23/2015,AWESOME,5              ,OVERALL QUALITY,1                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit:Yes ,Attendance: Not Mandatory,Textbook Used: Yes,Would Take Again: N/A,Grade Received: A+            ,RESPECTED-AMAZING LECTURES                                              ,Professor david j malan is a grate professor                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,0 people found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,10/05/2015,GOOD   ,4              ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit:Yes ,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: N/A,Grade Received: A-            ,                                                                        ,aWESOME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2 people found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
